adapter,stylePreset,pipelineVersion,resultFingerprint,previewPixelFingerprint,image,category,license,sourcePage,sourceSha256,width,height,colors,runtimeMs,evaluationRuntimeMs,sourceSamplingMs,outputHash,regions4,regions8,regionDensity4Per10k,regionDensity8Per10k,singletonCount,singletonAreaRatio,tinyAreaRatio,highContrastTinyCount,lowContrastTinyCount,transitionRatio,compactnessMean,compactnessP90,paletteUsed,paletteEntropyBits,meanDeltaE,edgePrecision,edgeRecall,idealRegionTaps,classicLowerBound,conservativeManualTapLowerBound,producerRegionCount,producerRegionDelta,producerTinyAreaRatio,producerTinyAreaDelta,producerEffortLowerBound,producerMetricsMatch,previewCellPixels,readableCellRatio,labelsPotentiallyLegible,panel
classic,classic,classic-v1,px128-133e182098bfdbe83b3286f4dcb01c7c,rgba128-3b8e5aa338831dc30ac0de0bb0ef27b7,gradient-golden-gate-fog,gradient,CC0 1.0,https://commons.wikimedia.org/wiki/File:Golden_Gate_Fog_-_Flickr_-_romainguy.jpg,ec1465fe61156a5859b2b43764ed9173ff7a6debee4840b7dcd59bab211f71e3,192,192,10,344.992,40.437,248.527,5fa073bea786a6a071b6cdfa3b2f2a35f0fa8c77b79d6c556fd26816d4cf2ab0,103,98,27.940538194444446,26.58420138888889,21,0.0005696614583333334,0.0016547309027777778,41,0,0.043207351657940665,0.5303234471315851,0.7853981633974483,10,2.8236693854400956,5.954567113470047,0.41211738718838753,0.6673479816044967,103,112,144,,,,,,,1.6666666666666667,0,false,panels/gradient-golden-gate-fog-192x192-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-909814f6c92477fa8ab7e0cc683c75be,rgba128-b992ecd2232c8702cd6fd952f80f07b6,gradient-golden-gate-fog,gradient,CC0 1.0,https://commons.wikimedia.org/wiki/File:Golden_Gate_Fog_-_Flickr_-_romainguy.jpg,ec1465fe61156a5859b2b43764ed9173ff7a6debee4840b7dcd59bab211f71e3,192,192,10,280.999,39.676,248.527,3c8898597bd63a95086a1e840ec49802643937c52229715d406cdba628d92624,83,78,22.51519097222222,21.158854166666664,14,0.00037977430555555556,0.0008138020833333334,17,0,0.04312554537521815,0.4815561054535078,0.7853981633974483,10,2.8311612213770747,5.942831160025283,0.39108441353145745,0.6320899335717935,83,92,105,83,0,0.0008138020833333334,0,83,true,1.6666666666666667,0,false,panels/gradient-golden-gate-fog-192x192-classic-vs-paintable.png
classic,classic,classic-v1,px128-98e223bcf71d074c368e12dc10f842d0,rgba128-f803d282afdef7260bdaa0f414f1c122,gradient-golden-gate-fog,gradient,CC0 1.0,https://commons.wikimedia.org/wiki/File:Golden_Gate_Fog_-_Flickr_-_romainguy.jpg,ec1465fe61156a5859b2b43764ed9173ff7a6debee4840b7dcd59bab211f71e3,512,512,10,2082.908,295.29,1429.948,a66aa37ba4c89e1a8c4c889fbf7435c4e0f589c040b300aab5079da461ffdffd,449,394,17.12799072265625,15.0299072265625,152,0.000579833984375,0.001190185546875,224,0,0.022728488869863013,0.6055031009448265,0.7853981633974483,10,2.789105499830662,6.004385411452631,0.3719835197174809,0.5479995045212437,449,458,681,,,,,,,0.625,0,false,panels/gradient-golden-gate-fog-512x512-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-5cb82e4e0bd2c2b6ee0b2442b1080792,rgba128-56340c017907db7181b21ead94379e5d,gradient-golden-gate-fog,gradient,CC0 1.0,https://commons.wikimedia.org/wiki/File:Golden_Gate_Fog_-_Flickr_-_romainguy.jpg,ec1465fe61156a5859b2b43764ed9173ff7a6debee4840b7dcd59bab211f71e3,512,512,10,1937.238,314.562,1429.948,6dde3e19bb4c936d52935f3133ba3c51673ea14c102da97304db4ad47774144d,223,202,8.50677490234375,7.7056884765625,44,0.0001678466796875,0.00043487548828125,67,0,0.02166401663405088,0.5191373875825812,0.7853981633974483,10,2.7867176877893076,6.038923583692508,0.35259350741002116,0.4951071472810603,223,232,302,223,0,0.00043487548828125,0,223,true,0.625,0,false,panels/gradient-golden-gate-fog-512x512-classic-vs-paintable.png
classic,classic,classic-v1,px128-b6bb596611b3c7fa917d5d28b82f9f96,rgba128-8d645ebdc1184d95947e9501e78d4529,illustration-paint-brush,simple-illustration,CC0 1.0,https://commons.wikimedia.org/wiki/File:Leanne_Walker-_Paint_Brush_Illustration_-_FREE_(50225393663).jpg,3870deb1637fa9d05fabe6332cbc4ec3c49d5128ab1c2f9b9ebb30f68b34c4c0,192,192,10,347.216,58.518,214.788,038eeae28c52eaefdb790de6572fe7cf630c0f7a9e58c22f0b9385573854f0fb,533,422,144.58550347222223,114.47482638888889,302,0.008192274305555556,0.012315538194444444,371,0,0.056732657068062825,0.6735912788386158,0.7853981633974483,10,2.3541345765163912,1.9794768792657527,0.9182888728670993,0.8197811628405921,533,542,911,,,,,,,1.6666666666666667,0,false,panels/illustration-paint-brush-192x192-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-fe23459f1fdf6a574c4cf26f7959093b,rgba128-65aaf546f76d52363667b1ea8a17e98a,illustration-paint-brush,simple-illustration,CC0 1.0,https://commons.wikimedia.org/wiki/File:Leanne_Walker-_Paint_Brush_Illustration_-_FREE_(50225393663).jpg,3870deb1637fa9d05fabe6332cbc4ec3c49d5128ab1c2f9b9ebb30f68b34c4c0,192,192,10,320.909,52.982,214.788,38a5d891e5416691353c0f1184b5bee2c28255ebc9194d74e5066201e016952a,375,282,101.72526041666666,76.49739583333333,205,0.005560980902777778,0.008382161458333334,248,0,0.05366492146596859,0.6439526041054208,0.7853981633974483,10,2.3640641167590037,2.1656048788049196,0.9390243902439024,0.7929628835013945,375,384,632,375,0,0.008382161458333334,0,375,true,1.6666666666666667,0,false,panels/illustration-paint-brush-192x192-classic-vs-paintable.png
classic,classic,classic-v1,px128-a2c69103c1cf22fb862669d7b0bf55bf,rgba128-91ec4e2e25ac94e24e9d0894006f10ae,illustration-paint-brush,simple-illustration,CC0 1.0,https://commons.wikimedia.org/wiki/File:Leanne_Walker-_Paint_Brush_Illustration_-_FREE_(50225393663).jpg,3870deb1637fa9d05fabe6332cbc4ec3c49d5128ab1c2f9b9ebb30f68b34c4c0,512,512,10,1925.885,258.606,1348.23,49d936895971441d1d90c948112ad3aca1aaf9e9cad4532deabae9d3b4d36376,1703,1327,64.96429443359375,50.62103271484375,1106,0.00421905517578125,0.006439208984375,1397,0,0.024893743884540118,0.7083815246985252,0.7853981633974483,10,2.437443683668137,0.9056095272762548,0.9196222938737909,0.8469315610859729,1703,1712,3100,,,,,,,0.625,0,false,panels/illustration-paint-brush-512x512-classic-vs-paintable.png
paintable,paintable,paintable-v1,px128-1bafc3c35fcbca0b815f1503869b0dc7,rgba128-4fdea147884a2fa320f43a293e055ac7,illustration-paint-brush,simple-illustration,CC0 1.0,https://commons.wikimedia.org/wiki/File:Leanne_Walker-_Paint_Brush_Illustration_-_FREE_(50225393663).jpg,3870deb1637fa9d05fabe6332cbc4ec3c49d5128ab1c2f9b9ebb30f68b34c4c0,512,512,10,1867.246,306.85,1348.23,bf82f88c3cd9542609cf6283ad69eb0b2d345d48d52fe45cd49d2dae86e4cdd1,1161,983,44.28863525390625,37.49847412109375,637,0.002429962158203125,0.004154205322265625,862,0,0.022950174290606654,0.6791690187548838,0.7853981633974483,10,2.4313207266598686,0.9487142558666335,0.9322175035390124,0.7915016968325792,1161,1170,2024,1161,0,0.004154205322265625,0,1161,true,0.625,0,false,panels/illustration-paint-brush-512x512-classic-vs-paintable.png
classic,classic,classic-v1,px128-7a1c0817a801dadfa47524030310e72b,rgba128-95e1b4a5f77e3f510dc5b3ebdcf05735,illustration-paint-brush,simple-illustration,CC0 1.0,https://commons.wikimedia.org/wiki/File:Leanne_Walker-_Paint_Brush_Illustration_-_FREE_(50225393663).jpg,3870deb1637fa9d05fabe6332cbc4ec3c49d5128ab1c2f9b9ebb30f68b34c4c0,1024,1024,10,8252.942,1127.846,5547.337,265998b5e54f11bd36e5ea1e0e00a4462ba26fdf541433a4494c1a1f7ebcf33d,2874,2086,27.408599853515625,19.893646240234375,1942,0.0018520355224609375,0.00293731689453125,2505,0,0.01174547898338221,0.7295272793345898,0.7853981633974483,10,2.4159337009174227,0.7893405291862265,0.9443270481144344,0.715653968156201,2874,2883,5385,,,,,,,0.3125,0,false,
classic,classic,classic-v1,px128-db70b7d13c7453e158bae85138fed6ed,rgba128-37be8a9b5b46a31b66e0ed3b1edd9e0f,illustration-paint-brush,simple-illustration,CC0 1.0,https://commons.wikimedia.org/wiki/File:Leanne_Walker-_Paint_Brush_Illustration_-_FREE_(50225393663).jpg,3870deb1637fa9d05fabe6332cbc4ec3c49d5128ab1c2f9b9ebb30f68b34c4c0,1200,1200,10,11023.831,1632.713,7415.271,3da6aa9e868b86525f561c512507f0a5c0fea9bc2181aa94fd14a8045123ddf7,3355,2262,23.29861111111111,15.708333333333334,2140,0.001486111111111111,0.0024861111111111112,2836,0,0.010111898804559354,0.7229935731689556,0.7853981633974483,10,2.4187798669948393,0.7360453657539665,0.9362499140834422,0.6748662306777645,3355,3364,6215,,,,,,,0.26666666666666666,0,false,
